缓冲大小		realtime	usertime	systime
1			9m17.794s		0m17.112s		8m55.394s
2			4m34.727s		0m8.131s		4m23.634s
4			2m28.039s		0m4.248s		2m21.197s
8			1m11.890s		0m2.117s		1m8.333s
16			0m35.009s		0m1.042s		0m32.325s
32			0m16.987s		0m0.439s		0m15.851s
64			0m10.325s		0m0.249s		0m8.992s
128			0m6.840s		0m0.117s		0m4.686s
256			0m3.681s		0m0.063s		0m2.199s
512			0m2.875s		0m0.031s		0m1.207s
1024			0m2.828s		0m0.012s		0m0.720s
2048			0m1.370s		0m0.007s		0m0.479s
4096			0m2.270s		0m0.006s		0m0.334s
8192			0m1.329s		0m0.002s		0m0.256s
16384		0m2.367s		0m0.002s		0m0.297s
32768		0m2.127s		0m0.003s		0m0.331s
65536		0m2.404s		0m0.000s		0m0.317s
131072		0m2.157s		0m0.002s		0m0.301s
262144		0m2.394s		0m0.002s		0m0.292s
